idDados;memoria;CPU;disco
1;62.2;5.5;60.4
2;62.4;0;60.4
3;62.2;2.4;60.4
4;62.2;5.4;60.4
5;62.1;1.6;60.4
6;62.2;13.2;60.4
7;62.2;0;60.4
8;62.2;1.6;60.4
9;62.2;0;60.4
10;62.5;4.7;60.4
11;62.6;19.4;60.4
12;62.2;7.1;60.4
13;62.2;0.8;60.4
14;62.2;0;60.4
15;62.1;2.3;60.4
16;62.2;20.8;60.4
17;62.3;12.4;60.4
18;62.2;0;60.4
19;62.6;11.6;60.4
20;63.8;27.7;60.4
21;66;25.8;60.4
22;66.2;44.3;60.4
23;66.1;31.6;60.4
24;66.1;0;60.4
25;65.9;11.5;60.4
26;66.2;7.7;60.4
27;66;2.3;60.4
28;65.6;7;60.4
29;62.4;2.3;60.4
30;62.4;0.8;60.4
31;62.4;10.5;60.4
32;62.3;3.1;60.4
33;62.7;24.6;60.4
34;63.6;2.3;60.4
35;66.4;20;60.4
36;66.4;2.3;60.4
37;66.2;3.9;60.4
38;66;0.8;60.4
39;66;1.6;60.4
40;65.9;1.5;60.4
41;65.8;0;60.4
42;65.9;10.8;60.4
43;65.8;35.9;60.4
44;65.8;10.1;60.4
45;69.2;43.8;60.4
46;69.2;17.3;60.4
47;69.2;34.8;60.4
48;66.5;14.7;60.4
49;63.8;0.8;60.4
50;63.8;0.8;60.4
51;63.8;1.6;60.4
52;63.7;3.1;60.4
53;63.6;3.1;60.4
54;63.7;1.6;60.4
55;63.7;5.6;60.4
56;63.6;1.6;60.4
57;63.5;0;60.4
58;63.5;0;60.4
59;63.6;1.6;60.4
60;64;10.2;60.4
61;63.7;3.1;60.4
62;63.7;2.4;60.4
63;60.2;7.6;60.4
64;60.2;2.4;60.4
65;60.2;0.8;60.4
66;60.1;17.1;60.4
67;60.2;2.3;60.4
68;60.1;4.7;60.4
69;60.1;3.1;60.4
70;60.5;3.8;60.4
71;60.6;13.3;60.4
72;60.8;3.1;60.4
73;60.7;1.6;60.4
74;60.7;4.7;60.4
75;61;16.2;60.4
76;61;40.6;60.4
77;61.3;21.3;60.4
78;61.7;5.4;60.4
79;61.2;17.2;60.4
80;61.3;8.5;60.4
81;61.2;2.3;60.4
82;61.1;3.1;60.4
83;61.2;8.7;60.4
84;60.8;30.2;60.4
85;60.7;0;60.4
86;60.9;0.8;60.4
87;61.3;12.4;60.4
88;60.8;5.5;60.4
89;61.1;19.4;60.4
90;61.4;5.4;60.4
91;61.1;13.1;60.4
92;61;2.3;60.4
93;60.8;16.4;60.4
94;60.7;12.4;60.4
95;60.7;10.1;60.4
96;60.9;11.7;60.4
97;61.2;4;60.4
98;61.1;7;60.4
99;61.1;25.8;60.4
100;61.1;18.8;60.4
101;61.5;55;60.4
102;61.7;9.8;60.4
103;61.9;8.6;60.4
104;61.5;3.1;60.4
105;61.6;1.6;60.4
106;61.5;4.7;60.4
107;61.3;18.5;60.4
108;61.8;43;60.4
109;61.6;0.8;60.4
110;61.6;0;60.4
111;61.9;3.1;60.4
112;61.4;0;60.4
113;60.8;0;60.4
114;60.7;0.8;60.4
115;60.8;1.5;60.4
116;60.8;0;60.4
117;60.8;0;60.4
118;60.7;3.1;60.4
119;60.8;5.3;60.4
120;60.7;4.6;60.4
121;60.7;0;60.4
122;60.7;0;60.4
123;59.9;9.2;60.4
124;59.9;0.8;60.4
125;60;0;60.4
126;59.9;0.8;60.4
127;59.8;2.3;60.4
128;59.9;3.1;60.4
129;60.3;7.8;60.4
130;60.4;24.8;60.4
131;60.3;6.3;60.4
132;60.2;10.9;60.4
133;59.9;0.8;60.4
134;59.9;3.1;60.4
135;60;25.8;60.4
136;60.3;0.8;60.4
137;60.2;0.8;60.4
138;60.5;0;60.4
139;60.4;2.4;60.4
140;60.3;0;60.4
141;60;0;60.4
142;60;0;60.4
143;60;1.6;60.4
144;60;3.1;60.4
145;60;1.6;60.4
146;59.9;0.8;60.4
147;59.9;0.8;60.4
148;60;0.8;60.4
149;60;2.3;60.4
150;59.9;0.8;60.4
151;59.9;0.8;60.4
152;60;3.1;60.4
153;59.9;0.8;60.4
154;59.9;0.8;60.4
155;59.9;2.3;60.4
156;60;5.5;60.4
157;59.9;1.6;60.4
158;59.9;2.4;60.4
159;59.9;0.8;60.4
160;59.9;0;60.4
161;59.9;0.8;60.4
162;60.3;1.6;60.4
163;60.3;2.3;60.4
164;59.9;0;60.4
165;60.1;0.8;60.4
166;60;0.8;60.4
167;60;0.8;60.4
168;60;10.9;60.4
169;59.9;4.5;60.4
170;60;0;60.4
171;60;1.6;60.4
172;60;0;60.4
173;60;0;60.4
174;60;0;60.4
175;59.9;0;60.4
176;59.9;0.8;60.4
177;60.1;0;60.4
178;60;0.8;60.4
179;59.9;2.4;60.4
180;59.9;0.8;60.4
181;59.9;0;60.4
182;60;0;60.4
183;60;3.1;60.4
184;59.9;0.8;60.4
185;60;5.3;60.4
186;59.9;5.6;60.4
187;60.2;4.7;60.4
188;60.1;0.8;60.4
189;60.2;2.4;60.4
190;60;3.9;60.4
191;59.9;0;60.4
192;59.9;12.2;60.4
193;59.8;0;60.4
194;59.9;17.6;60.4
195;59.8;9.2;60.4
196;59.9;9.4;60.4
197;59.9;0;60.4
198;59.8;16.2;60.4
199;59.9;0;60.4
200;59.8;1.6;60.4
201;60.3;7.1;60.4
